timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779376870.350926921,1779376352.524061918,136,4,UpHybridRe,Bias,14.104523445403094,6.331006939765519,6.331006939765519,6.331006939765519,6.331006939765519,6.331006939765519,6.331006939765519,6.331006939765519
1779376870.961180301,1779376353.219683886,137,4,UpHybridRe,Bias,14.0919994596524,6.332636401742854,6.332636401742854,6.332636401742854,6.332636401742854,6.332636401742854,6.332636401742854,6.332636401742854
1779376871.612116229,1779376353.650062084,138,4,UpHybridRe,Bias,14.09576397239928,6.342354979395387,6.342354979395387,6.342354979395387,6.342354979395387,6.342354979395387,6.342354979395387,6.342354979395387
1779376871.993439977,1779376354.225550890,139,4,UpHybridRe,Bias,14.097498545294838,6.3438532962288505,6.3438532962288505,6.3438532962288505,6.3438532962288505,6.3438532962288505,6.3438532962288505,6.3438532962288505
1779376872.926056765,1779376355.171258926,140,4,UpHybridRe,Bias,14.076558831352973,6.345764818557618,6.345764818557618,6.345764818557618,6.345764818557618,6.345764818557618,6.345764818557618,6.345764818557618
1779376874.171585205,1779376356.372380972,141,4,UpHybridRe,Bias,14.071409343955432,6.344674682472266,6.344674682472266,6.344674682472266,6.344674682472266,6.344674682472266,6.344674682472266,6.344674682472266
1779376874.543769734,1779376356.782758951,142,4,UpHybridRe,Bias,14.057432801183998,6.340906371669731,6.340906371669731,6.340906371669731,6.340906371669731,6.340906371669731,6.340906371669731,6.340906371669731
1779376875.319793335,1779376357.543371916,143,4,UpHybridRe,Bias,14.049429407823839,6.338117715778276,6.338117715778276,6.338117715778276,6.338117715778276,6.338117715778276,6.338117715778276,6.338117715778276
1779376876.677572321,1779376358.929615974,144,4,UpHybridRe,Bias,14.05167510550227,6.342660398203262,6.342660398203262,6.342660398203262,6.342660398203262,6.342660398203262,6.342660398203262,6.342660398203262
1779376877.453294876,1779376359.715361118,145,4,UpHybridRe,Bias,14.040678462805626,6.340500675817582,6.340500675817582,6.340500675817582,6.340500675817582,6.340500675817582,6.340500675817582,6.340500675817582
1779376878.060913260,1779376360.346004009,146,4,UpHybridRe,Bias,14.045464056127173,6.351480532608221,6.351480532608221,6.351480532608221,6.351480532608221,6.351480532608221,6.351480532608221,6.351480532608221
1779376878.432469603,1779376360.726360083,147,4,UpHybridRe,Bias,14.041435342915744,6.343470966161617,6.343470966161617,6.343470966161617,6.343470966161617,6.343470966161617,6.343470966161617,6.343470966161617
1779376880.690161114,1779376362.913360119,148,4,UpHybridRe,Bias,14.042009927721848,6.350977937337105,6.350977937337105,6.350977937337105,6.350977937337105,6.350977937337105,6.350977937337105,6.350977937337105
1779376881.383216348,1779376363.593640089,149,4,UpHybridRe,Bias,14.044003940767626,6.359949436251883,6.359949436251883,6.359949436251883,6.359949436251883,6.359949436251883,6.359949436251883,6.359949436251883
1779376881.852011828,1779376364.089139938,150,4,UpHybridRe,Bias,14.040247490343146,6.364420444539484,6.364420444539484,6.364420444539484,6.364420444539484,6.364420444539484,6.364420444539484,6.364420444539484
1779376882.365763557,1779376364.624650955,151,4,UpHybridRe,Bias,14.040514575195132,6.364053093359828,6.364053093359828,6.364053093359828,6.364053093359828,6.364053093359828,6.364053093359828,6.364053093359828
1779376883.624782214,1779376365.825773001,152,4,UpHybridRe,Bias,14.03968379957839,6.364799362169773,6.364799362169773,6.364799362169773,6.364799362169773,6.364799362169773,6.364799362169773,6.364799362169773
1779376884.177345242,1779376366.421195030,153,4,UpHybridRe,Bias,14.0383952420703,6.3646044851634,6.3646044851634,6.3646044851634,6.3646044851634,6.3646044851634,6.3646044851634,6.3646044851634
1779376885.503980146,1779376367.707449913,154,4,UpHybridRe,Bias,14.036476567929112,6.367271636287045,6.367271636287045,6.367271636287045,6.367271636287045,6.367271636287045,6.367271636287045,6.367271636287045
1779376887.805240807,1779376370.044945002,155,4,UpHybridRe,Bias,14.035372302864277,6.368523635436926,6.368523635436926,6.368523635436926,6.368523635436926,6.368523635436926,6.368523635436926,6.368523635436926
1779376888.766943122,1779376371.010823011,156,4,UpHybridRe,Bias,14.036055146639416,6.375979654823215,6.375979654823215,6.375979654823215,6.375979654823215,6.375979654823215,6.375979654823215,6.375979654823215
1779376890.774847731,1779376372.977015018,157,4,UpHybridRe,Bias,14.033870477223362,6.381555489370523,6.381555489370523,6.381555489370523,6.381555489370523,6.381555489370523,6.381555489370523,6.381555489370523
1779376891.779830306,1779376373.988014936,158,4,UpHybridRe,Bias,14.035140875752878,6.389483989388355,6.389483989388355,6.389483989388355,6.389483989388355,6.389483989388355,6.389483989388355,6.389483989388355
1779376893.234379199,1779376375.414724112,159,4,UpHybridRe,Bias,14.031585771641364,6.3911718404512605,6.3911718404512605,6.3911718404512605,6.3911718404512605,6.3911718404512605,6.3911718404512605,6.3911718404512605
1779376893.930795220,1779376376.080347061,160,4,UpHybridRe,Bias,14.035204719543788,6.401610281129957,6.401610281129957,6.401610281129957,6.401610281129957,6.401610281129957,6.401610281129957,6.401610281129957
1779376894.467254832,1779376376.705969095,161,4,UpHybridRe,Bias,14.027857010147345,6.404086704098801,6.404086704098801,6.404086704098801,6.404086704098801,6.404086704098801,6.404086704098801,6.404086704098801
1779376895.435137187,1779376377.666846991,162,4,UpHybridRe,Bias,14.026739382963354,6.409746911708954,6.409746911708954,6.409746911708954,6.409746911708954,6.409746911708954,6.409746911708954,6.409746911708954
1779376895.871187131,1779376378.107223988,163,4,UpHybridRe,Bias,14.029948577976633,6.421134264272887,6.421134264272887,6.421134264272887,6.421134264272887,6.421134264272887,6.421134264272887,6.421134264272887
1779376897.260892645,1779376379.543023109,164,4,UpHybridRe,Bias,14.041141489464554,6.433993727723321,6.433993727723321,6.433993727723321,6.433993727723321,6.433993727723321,6.433993727723321,6.433993727723321
1779376898.319874692,1779376380.493901014,165,4,UpHybridRe,Bias,14.037982199327526,6.4375169105032475,6.4375169105032475,6.4375169105032475,6.4375169105032475,6.4375169105032475,6.4375169105032475,6.4375169105032475
1779376899.365792034,1779376381.630158901,166,4,UpHybridRe,Bias,14.035174076621537,6.442726440446181,6.442726440446181,6.442726440446181,6.442726440446181,6.442726440446181,6.442726440446181,6.442726440446181
1779376901.696382137,1779376383.907280922,167,4,UpHybridRe,Bias,14.034119598268619,6.449424865099626,6.449424865099626,6.449424865099626,6.449424865099626,6.449424865099626,6.449424865099626,6.449424865099626
1779376902.329387557,1779376384.557671070,168,4,UpHybridRe,Bias,14.02872060222837,6.447416670251259,6.447416670251259,6.447416670251259,6.447416670251259,6.447416670251259,6.447416670251259,6.447416670251259
1779376903.398383820,1779376385.603682041,169,4,UpHybridRe,Bias,14.029051250147617,6.454759496685506,6.454759496685506,6.454759496685506,6.454759496685506,6.454759496685506,6.454759496685506,6.454759496685506
1779376904.466282726,1779376386.674549103,170,4,UpHybridRe,Bias,14.029825240390673,6.462709349918725,6.462709349918725,6.462709349918725,6.462709349918725,6.462709349918725,6.462709349918725,6.462709349918725
1779376905.634997501,1779376387.881362915,171,4,UpHybridRe,Bias,14.026062906330967,6.46157996374996,6.46157996374996,6.46157996374996,6.46157996374996,6.46157996374996,6.46157996374996,6.46157996374996
1779376906.714206116,1779376388.952363014,172,4,UpHybridRe,Bias,14.029172867660023,6.46965846647381,6.46965846647381,6.46965846647381,6.46965846647381,6.46965846647381,6.46965846647381,6.46965846647381
1779376907.464384059,1779376389.683119059,173,4,UpHybridRe,Bias,14.031122945664963,6.476892652082506,6.476892652082506,6.476892652082506,6.476892652082506,6.476892652082506,6.476892652082506,6.476892652082506
1779376908.738529339,1779376390.989187002,174,4,UpHybridRe,Bias,14.033586320093102,6.4816623185312165,6.4816623185312165,6.4816623185312165,6.4816623185312165,6.4816623185312165,6.4816623185312165,6.4816623185312165
1779376909.166315430,1779376391.389575958,175,4,UpHybridRe,Bias,14.029618497906272,6.488163609488052,6.488163609488052,6.488163609488052,6.488163609488052,6.488163609488052,6.488163609488052,6.488163609488052
1779376909.856002833,1779376392.085186958,176,4,UpHybridRe,Bias,14.027063582829625,6.491042872787985,6.491042872787985,6.491042872787985,6.491042872787985,6.491042872787985,6.491042872787985,6.491042872787985
1779376910.971959322,1779376393.201186895,177,4,UpHybridRe,Bias,14.026012196562196,6.494332643613571,6.494332643613571,6.494332643613571,6.494332643613571,6.494332643613571,6.494332643613571,6.494332643613571
1779376911.980288790,1779376394.222182989,178,4,UpHybridRe,Bias,14.024215917209935,6.5000732268626145,6.5000732268626145,6.5000732268626145,6.5000732268626145,6.5000732268626145,6.5000732268626145,6.5000732268626145
1779376912.682817188,1779376394.857805014,179,4,UpHybridRe,Bias,14.015010939785352,6.500896557492289,6.500896557492289,6.500896557492289,6.500896557492289,6.500896557492289,6.500896557492289,6.500896557492289
1779376913.465589416,1779376395.703550100,180,4,UpHybridRe,Bias,14.016767360044595,6.510803456406051,6.510803456406051,6.510803456406051,6.510803456406051,6.510803456406051,6.510803456406051,6.510803456406051
1779376914.075665598,1779376396.294042110,181,4,UpHybridRe,Bias,14.015100096213184,6.516167981844341,6.516167981844341,6.516167981844341,6.516167981844341,6.516167981844341,6.516167981844341,6.516167981844341
1779376915.179648962,1779376397.360042095,182,4,UpHybridRe,Bias,14.011135375847958,6.518865361724718,6.518865361724718,6.518865361724718,6.518865361724718,6.518865361724718,6.518865361724718,6.518865361724718
1779376916.601813312,1779376398.831419945,183,4,UpHybridRe,Bias,14.013857807164307,6.530081564678035,6.530081564678035,6.530081564678035,6.530081564678035,6.530081564678035,6.530081564678035,6.530081564678035
1779376918.458881373,1779376400.648113012,184,4,UpHybridRe,Bias,14.019226489111242,6.535567963855674,6.535567963855674,6.535567963855674,6.535567963855674,6.535567963855674,6.535567963855674,6.535567963855674
1779376919.157654153,1779376401.388869047,185,4,UpHybridRe,Bias,14.021785282917472,6.542101905773127,6.542101905773127,6.542101905773127,6.542101905773127,6.542101905773127,6.542101905773127,6.542101905773127
1779376920.577747784,1779376402.830349922,186,4,UpHybridRe,Bias,14.023717666362279,6.549474860551928,6.549474860551928,6.549474860551928,6.549474860551928,6.549474860551928,6.549474860551928,6.549474860551928
1779376921.617463344,1779376403.771217108,187,4,UpHybridRe,Bias,14.02570377604189,6.550595192055282,6.550595192055282,6.550595192055282,6.550595192055282,6.550595192055282,6.550595192055282,6.550595192055282
1779376923.587585306,1779376405.767429113,188,4,UpHybridRe,Bias,14.023905774687067,6.553217168083711,6.553217168083711,6.553217168083711,6.553217168083711,6.553217168083711,6.553217168083711,6.553217168083711
1779376925.189305403,1779376407.283807039,189,4,UpHybridRe,Bias,14.0239542571369,6.558450225922895,6.558450225922895,6.558450225922895,6.558450225922895,6.558450225922895,6.558450225922895,6.558450225922895
1779376926.285908897,1779376408.469770908,190,4,UpHybridRe,Bias,14.03040531380056,6.56966511503713,6.56966511503713,6.56966511503713,6.56966511503713,6.56966511503713,6.56966511503713,6.56966511503713
1779376927.393347802,1779376409.625771046,191,4,UpHybridRe,Bias,14.035286107240362,6.578720932592035,6.578720932592035,6.578720932592035,6.578720932592035,6.578720932592035,6.578720932592035,6.578720932592035
